,data_date,float_id,depth,latitude,longitude,temperature,salinity,data_source
0,2020-09-03 19:31:27,1901214,"(0, 100]",51.43499999999999,-39.810999999999964,6.750374972820282,34.574312925338745,Argo Project
1,2020-09-03 19:31:27,1901214,"(100, 200]",51.435,-39.81099999999998,5.860000133514404,34.75159950256348,Argo Project
2,2020-09-03 19:31:27,1901214,"(200, 300]",51.435,-39.81099999999998,4.986899948120117,34.833900451660156,Argo Project
3,2020-09-03 19:31:27,1901214,"(300, 400]",51.435,-39.81099999999998,4.536400032043457,34.863000106811526,Argo Project
4,2020-09-03 19:31:27,1901214,"(400, 500]",51.435,-39.81099999999998,4.462399959564209,34.892900466918945,Argo Project
5,2020-09-03 19:31:27,1901214,"(500, 600]",51.435,-39.81099999999998,4.2152498960494995,34.88924980163574,Argo Project
6,2020-09-03 19:31:27,1901214,"(600, 700]",51.435,-39.81099999999998,4.130499958992004,34.895999908447266,Argo Project
7,2020-09-03 19:31:27,1901214,"(700, 800]",51.435,-39.81099999999998,4.100250005722046,34.90199947357178,Argo Project
8,2020-09-03 19:31:27,1901214,"(800, 900]",51.435,-39.81099999999998,4.020999908447266,34.90025043487549,Argo Project
9,2020-09-03 19:31:27,1901214,"(900, 1000]",51.435,-39.81099999999998,3.9642500281333923,34.901000022888184,Argo Project
10,2020-09-03 19:31:27,1901214,"(1000, 1100]",51.435,-39.81099999999998,3.918750047683716,34.90275001525879,Argo Project
11,2020-09-03 19:31:27,1901214,"(1100, 1200]",51.435,-39.81099999999998,3.8744999766349792,34.90374946594238,Argo Project
12,2020-09-03 19:31:27,1901214,"(1200, 1300]",51.435,-39.81099999999998,3.818499982357025,34.90374946594238,Argo Project
13,2020-09-03 19:31:27,1901214,"(1300, 1400]",51.435,-39.81099999999998,3.7572500109672546,34.906999588012695,Argo Project
14,2020-09-03 19:31:27,1901214,"(1400, 1500]",51.435,-39.81099999999998,3.6947500705718994,34.91024971008301,Argo Project
15,2020-09-03 19:31:27,1901214,"(1500, 1600]",51.435,-39.81099999999998,3.6230000257492065,34.9119987487793,Argo Project
16,2020-09-03 19:31:27,1901214,"(1600, 1700]",51.435,-39.81099999999998,3.5417500138282776,34.9114990234375,Argo Project
17,2020-09-03 19:31:27,1901214,"(1700, 1800]",51.435,-39.81099999999998,3.474250018596649,34.91024971008301,Argo Project
18,2020-09-03 19:31:27,1901214,"(1800, 1900]",51.435,-39.81099999999998,3.4049999713897705,34.90850067138672,Argo Project
19,2020-09-03 19:31:27,1901214,"(1900, 2000]",51.435,-39.81099999999998,3.3077500462532043,34.90700149536133,Argo Project
20,2020-09-03 19:31:27,4901168,"(0, 100]",51.250999450683594,-38.369998931884766,10.353999996185303,34.985400390625,Argo Project
21,2020-09-03 19:31:27,4901168,"(100, 200]",51.250999450683594,-38.369998931884766,10.358699893951416,35.062499618530275,Argo Project
22,2020-09-03 19:31:27,4901168,"(200, 300]",51.250999450683594,-38.369998931884766,8.459727373990146,35.01481801813299,Argo Project
23,2020-09-03 19:31:27,4901168,"(300, 400]",51.250999450683594,-38.369998931884766,6.206625044345856,34.90275001525879,Argo Project
24,2020-09-03 19:31:27,4901168,"(400, 500]",51.250999450683594,-38.369998931884766,5.296999931335449,34.930999755859375,Argo Project
25,2020-09-03 19:31:27,4901168,"(500, 600]",51.250999450683594,-38.369998931884766,4.858999967575073,34.917999267578125,Argo Project
26,2020-09-03 19:31:27,4901168,"(600, 700]",51.250999450683594,-38.369998931884766,4.473999977111816,34.92700004577637,Argo Project
27,2020-09-03 19:31:27,4901168,"(700, 800]",51.250999450683594,-38.369998931884766,4.290999889373779,34.92499923706055,Argo Project
28,2020-09-03 19:31:27,4901168,"(800, 900]",51.250999450683594,-38.369998931884766,4.164499998092651,34.923500061035156,Argo Project
29,2020-09-03 19:31:27,4901168,"(900, 1000]",51.250999450683594,-38.369998931884766,4.09250020980835,34.92449951171875,Argo Project
30,2020-09-03 19:31:27,4901168,"(1000, 1100]",51.250999450683594,-38.369998931884766,3.9593332608540854,34.91833241780599,Argo Project
31,2020-09-03 19:31:27,4901168,"(1100, 1200]",51.250999450683594,-38.369998931884766,3.871000051498413,34.91899871826172,Argo Project
32,2020-09-03 19:31:27,4901168,"(1200, 1300]",51.250999450683594,-38.369998931884766,3.8550000190734863,34.92450141906738,Argo Project
33,2020-09-03 19:31:27,4901168,"(1300, 1400]",51.250999450683594,-38.369998931884766,3.8263333638509116,34.93266677856445,Argo Project
34,2020-09-03 19:31:27,4901168,"(1400, 1500]",51.250999450683594,-38.369998931884766,3.7799999713897705,34.93600082397461,Argo Project
35,2020-09-03 19:31:27,4901168,"(1500, 1600]",51.250999450683594,-38.369998931884766,3.7163333098093667,34.936333974202476,Argo Project
36,2020-09-03 19:31:27,4901168,"(1600, 1700]",51.250999450683594,-38.369998931884766,3.6579999923706055,34.9370002746582,Argo Project
37,2020-09-03 19:31:27,4901168,"(1700, 1800]",51.250999450683594,-38.369998931884766,3.5666666825612388,34.93466567993164,Argo Project
38,2020-09-03 19:31:27,4901168,"(1800, 1900]",51.250999450683594,-38.369998931884766,3.4679999351501465,34.93299865722656,Argo Project
39,2020-09-03 19:31:27,4901168,"(1900, 2000]",51.250999450683594,-38.369998931884766,3.4149999618530273,34.93149948120117,Argo Project
40,2020-09-03 19:31:27,4901218,"(0, 100]",41.65200000000001,-41.51700000000002,17.411099910736084,36.31419982910156,Argo Project
41,2020-09-03 19:31:27,4901218,"(100, 200]",41.65200000000001,-41.51700000000002,17.43470001220703,36.31959991455078,Argo Project
