data_date,latitude,longitude,depth,temperature,salinity
8/1/2009,48.08,-60.7,400,5.086999893,34.82699966
7/14/2009,48.68,-68.58,200,4.366000175,34.18000031
8/26/2009,48.28,-64.39,100,0.867999971,32.125
9/3/2009,47.29,-64.23,0,8.986000061,29.86199951
9/21/2009,47.13,-60.37,0,14.60499954,29.27199936
5/3/2009,48.66,-68.59,300,4.992000103,34.44100189
8/29/2009,49.03,-64.2,0,0.219999999,32.07699966
6/24/2009,50.24,-65.95,0,5.622000217,31.0189991
8/9/2009,49.65,-60.59,100,0.782999992,33.00099945
7/31/2009,48.33,-61.07,200,4.93200016,34.31299973
8/17/2009,49.75,-65.06,200,4.315999985,34.13899994
7/15/2009,48.12,-61.29,200,3.325000048,33.75999832
8/1/2009,48.39,-60.6,200,4.130000114,34.00799942
6/23/2009,48.67,-68.59,300,4.885000229,34.39699936
9/21/2009,47.13,-60.37,0,14.86100006,29.17399979
6/21/2009,49.12,-67.91,100,2.369999886,33.47600174
5/10/2009,48.67,-68.57,100,3.059000015,33.68399811
4/17/2009,46.8,-58.21,100,0.639999986,32.93000031
8/27/2009,48.35,-69.25,100,1.661999941,32.15000153
6/21/2009,49.12,-67.91,0,0.312999994,31.64500046
7/16/2009,48.19,-61.62,200,3.599999905,33.8409996
8/5/2009,48.78,-59.32,0,15.93999958,30.37599945
8/16/2009,49.09,-63.74,100,0.902999997,32.98500061
8/25/2009,49.19,-67.5,300,5.210000038,34.57699966
8/4/2009,48.67,-68.56,100,2.686000109,33.56800079
6/15/2009,48.15,-69.49,0,5.401000023,26.3579998
9/22/2009,48.67,-68.58,0,3.048000097,30.95000076
6/12/2009,47.66,-63.75,0,0.884000003,31.10499954
4/25/2009,48.65,-68.56,300,4.751999855,34.33200073
6/10/2009,48.5,-61.3,100,3.190999985,33.7159996
8/5/2009,49.25,-59.46,0,6.122000217,31.37100029
6/6/2009,49.32,-64.72,200,4.431000233,34.18199921
7/30/2009,47.74,-60.06,500,5.053999901,34.83599854
6/17/2009,48.17,-60.75,100,1.315999985,32.9280014
6/14/2009,47.4,-58.25,100,2.903000116,33.46699905
7/31/2009,47.84,-60.63,100,0.69599998,32.67200089
8/4/2009,48.67,-68.56,0,12.78999996,24.37899971
8/8/2009,50.57,-58.01,0,0.907999992,31.93099976
7/15/2009,48.17,-61.3,200,2.663000107,33.56200027
8/29/2009,49.27,-64.89,100,1.11500001,33.05799866
7/30/2009,47.27,-59.78,100,3.938999891,33.60699844
7/30/2009,47.27,-59.78,100,3.220999956,33.45100021
6/20/2009,48.37,-68.99,0,4.025000095,28.23399925
6/10/2009,48.21,-61.61,100,-0.263000011,32.29800034
6/5/2009,49.72,-66.25,200,4.244999886,34.11399841
7/30/2009,47.5,-60,200,4.988999844,34.33800125
6/21/2009,48.7,-68.6,300,4.923999786,34.44100189
8/14/2009,48.28,-69.41,100,1.179999948,33.07099915
6/30/2009,49.24,-66.2,100,0.145999998,32.02600098
6/10/2009,48.21,-61.61,0,-0.421000004,32.11899948
