year,fish_type,avg_depth,fish_total
2015.0,atlantic_soft_pout,323.42857142857144,782.3002
2009.0,arctic_cod,153.08333333333334,100.7
2014.0,atlantic_mackerel,144.88095238095238,3141.0999
2016.0,atlantic_herring,169.50877192982455,28253.4
2010.0,capelin,161.00980392156862,402234.12
2017.0,sand_lances,235.5,10.1
2013.0,silver_hake,280.1758241758242,739.7
2016.0,silver_hake,255.21794871794873,102.600006
2015.0,atlantic_mackerel,177.89411764705883,3376.3997
2013.0,atlantic_mackerel,75.75,313.4
2011.0,atlantic_herring,165.09887005649716,65638.11
2013.0,arctic_cod,156.97727272727272,120.2
2014.0,total,196.88256227758006,206352.23
2010.0,total,177.04517611026034,570046.8
2013.0,total,213.71270036991368,234240.7
2011.0,total,206.9486345903771,424239.94
2018.0,total,200.4952305246423,74797.76
2015.0,total,198.05489964580875,201797.77
2016.0,total,197.8781512605042,74104.414
2012.0,total,203.37782204515273,365594.16
2017.0,total,213.12021439509954,233030.72
2009.0,total,200.52573018080668,302569.44
